timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/23 15:02:00.113, 3, 46068, 0, 25.43
2026/09/23 15:02:01.119, 3, 46068, 0, 25.82
2026/09/23 15:02:02.120, 3, 46068, 0, 26.45
2026/09/23 15:02:03.122, 3, 46068, 0, 25.57
2026/09/23 15:02:04.123, 3, 46068, 0, 25.45
2026/09/23 15:02:05.125, 3, 46068, 0, 25.96
2026/09/23 15:02:06.127, 3, 46068, 0, 25.68
2026/09/23 15:02:07.129, 3, 46068, 0, 27.37
2026/09/23 15:02:08.130, 3, 46068, 0, 27.13
2026/09/23 15:02:09.131, 3, 46068, 0, 22.64
2026/09/23 15:02:10.133, 3, 46068, 0, 23.67
2026/09/23 15:02:11.134, 3, 46068, 0, 24.30
2026/09/23 15:02:12.138, 3, 46068, 0, 23.77
2026/09/23 15:02:13.140, 3, 46068, 0, 24.30
2026/09/23 15:02:14.143, 3, 46068, 0, 24.59
2026/09/23 15:02:15.144, 3, 46068, 0, 25.73
2026/09/23 15:02:16.146, 3, 46068, 0, 26.22
2026/09/23 15:02:17.149, 3, 46068, 0, 24.84
2026/09/23 15:02:18.150, 3, 46068, 0, 26.02
2026/09/23 15:02:19.153, 3, 46068, 0, 26.29
2026/09/23 15:02:20.154, 3, 46068, 0, 25.46
2026/09/23 15:02:21.156, 3, 46068, 0, 25.34
2026/09/23 15:02:22.158, 3, 46068, 0, 25.35
2026/09/23 15:02:23.160, 3, 46068, 0, 25.49
2026/09/23 15:02:24.162, 3, 46068, 0, 25.24
2026/09/23 15:02:25.164, 3, 46068, 0, 25.86
2026/09/23 15:02:26.165, 3, 46068, 0, 25.10
2026/09/23 15:02:27.167, 3, 46068, 0, 24.84
2026/09/23 15:02:28.168, 3, 46068, 0, 25.48
2026/09/23 15:02:29.169, 3, 46068, 0, 24.61
2026/09/23 15:02:30.171, 3, 46068, 0, 25.48
2026/09/23 15:02:31.172, 3, 46068, 0, 26.10
2026/09/23 15:02:32.174, 3, 46068, 0, 25.61
2026/09/23 15:02:33.176, 3, 46068, 0, 25.35
2026/09/23 15:02:34.178, 3, 46068, 0, 24.72
2026/09/23 15:02:35.180, 3, 46068, 0, 25.98
2026/09/23 15:02:36.181, 3, 46068, 0, 24.99
2026/09/23 15:02:37.184, 3, 46068, 0, 24.74
2026/09/23 15:02:38.185, 3, 46068, 0, 24.74
2026/09/23 15:02:39.187, 505, 46068, 3, 45.49
2026/09/23 15:02:40.190, 6365, 46068, 1, 83.39
2026/09/23 15:02:41.197, 6365, 46068, 1, 82.59
2026/09/23 15:02:42.224, 6365, 46068, 16, 82.91
2026/09/23 15:02:43.226, 6365, 46068, 16, 84.07
2026/09/23 15:02:44.232, 6365, 46068, 18, 84.46
2026/09/23 15:02:45.282, 6583, 46068, 5, 84.36
2026/09/23 15:02:46.284, 6397, 46068, 0, 88.34
2026/09/23 15:02:47.286, 6397, 46068, 0, 83.03
2026/09/23 15:02:48.287, 6397, 46068, 0, 82.61
2026/09/23 15:02:49.288, 6397, 46068, 0, 82.57
2026/09/23 15:02:50.290, 6397, 46068, 0, 82.61
2026/09/23 15:02:51.292, 6397, 46068, 0, 82.37
2026/09/23 15:02:52.294, 6397, 46068, 0, 82.47
2026/09/23 15:02:53.295, 6397, 46068, 0, 82.59
2026/09/23 15:02:54.297, 6397, 46068, 0, 82.57
2026/09/23 15:02:55.298, 6397, 46068, 0, 82.55
2026/09/23 15:02:56.299, 6397, 46068, 0, 82.55
2026/09/23 15:02:57.301, 6397, 46068, 0, 82.97
2026/09/23 15:02:58.302, 6397, 46068, 0, 82.96
2026/09/23 15:02:59.304, 6397, 46068, 0, 82.94
2026/09/23 15:03:00.306, 6397, 46068, 0, 82.97
2026/09/23 15:03:01.308, 6397, 46068, 0, 82.84
2026/09/23 15:03:02.311, 6397, 46068, 0, 84.00
2026/09/23 15:03:03.313, 6397, 46068, 0, 83.59
2026/09/23 15:03:04.315, 6397, 46068, 0, 82.58
2026/09/23 15:03:05.317, 6397, 46068, 0, 84.03
2026/09/23 15:03:06.319, 6397, 46068, 0, 84.06
2026/09/23 15:03:07.320, 6397, 46068, 0, 83.79
2026/09/23 15:03:08.322, 6397, 46068, 0, 84.01
2026/09/23 15:03:09.325, 6397, 46068, 0, 84.04
2026/09/23 15:03:10.327, 6397, 46068, 0, 84.04
2026/09/23 15:03:11.329, 6399, 46068, 0, 84.01
