timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/23 17:00:50.696, 3, 46068, 0, 25.86
2026/09/23 17:00:51.705, 3, 46068, 0, 24.75
2026/09/23 17:00:52.707, 3, 46068, 0, 25.03
2026/09/23 17:00:53.709, 3, 46068, 0, 25.03
2026/09/23 17:00:54.710, 3, 46068, 0, 25.74
2026/09/23 17:00:55.712, 3, 46068, 0, 25.89
2026/09/23 17:00:56.714, 3, 46068, 0, 25.63
2026/09/23 17:00:57.716, 3, 46068, 0, 25.62
2026/09/23 17:00:58.719, 3, 46068, 0, 26.11
2026/09/23 17:00:59.720, 3, 46068, 0, 26.34
2026/09/23 17:01:00.723, 3, 46068, 0, 25.87
2026/09/23 17:01:01.725, 3, 46068, 0, 25.46
2026/09/23 17:01:02.727, 3, 46068, 0, 27.34
2026/09/23 17:01:03.730, 3, 46068, 0, 26.99
2026/09/23 17:01:04.732, 3, 46068, 0, 26.13
2026/09/23 17:01:05.733, 3, 46068, 0, 26.88
2026/09/23 17:01:06.735, 3, 46068, 0, 26.64
2026/09/23 17:01:07.737, 3, 46068, 0, 25.75
2026/09/23 17:01:08.739, 3, 46068, 0, 28.53
2026/09/23 17:01:09.740, 3, 46068, 0, 27.03
2026/09/23 17:01:10.742, 3, 46068, 0, 25.90
2026/09/23 17:01:11.743, 3, 46068, 0, 27.13
2026/09/23 17:01:12.745, 3, 46068, 0, 26.97
2026/09/23 17:01:13.748, 3, 46068, 0, 25.50
2026/09/23 17:01:14.750, 3, 46068, 0, 26.28
2026/09/23 17:01:15.752, 3, 46068, 0, 26.90
2026/09/23 17:01:16.753, 3, 46068, 0, 26.14
2026/09/23 17:01:17.755, 3, 46068, 0, 26.73
2026/09/23 17:01:18.757, 3, 46068, 0, 26.62
2026/09/23 17:01:19.759, 3, 46068, 0, 26.28
2026/09/23 17:01:20.761, 3, 46068, 0, 27.91
2026/09/23 17:01:21.763, 3, 46068, 0, 27.75
2026/09/23 17:01:22.765, 3, 46068, 0, 26.25
2026/09/23 17:01:23.767, 3, 46068, 0, 27.50
2026/09/23 17:01:24.769, 3, 46068, 0, 28.51
2026/09/23 17:01:25.771, 3, 46068, 0, 27.92
2026/09/23 17:01:26.773, 3, 46068, 0, 28.67
2026/09/23 17:01:27.775, 3, 46068, 0, 27.30
2026/09/23 17:01:28.777, 3, 46068, 0, 24.67
2026/09/23 17:01:29.779, 3, 46068, 0, 28.05
2026/09/23 17:01:30.781, 3, 46068, 0, 25.29
2026/09/23 17:01:31.782, 1781, 46068, 0, 79.67
2026/09/23 17:01:32.784, 6365, 46068, 0, 82.22
2026/09/23 17:01:33.794, 6365, 46068, 1, 81.70
2026/09/23 17:01:34.796, 6365, 46068, 16, 82.48
2026/09/23 17:01:35.798, 6365, 46068, 0, 82.92
2026/09/23 17:01:36.799, 6365, 46068, 0, 82.04
2026/09/23 17:01:37.802, 6365, 46068, 17, 81.35
2026/09/23 17:01:38.804, 6365, 46068, 17, 82.79
2026/09/23 17:01:39.806, 6397, 46068, 4, 88.28
2026/09/23 17:01:40.808, 6397, 46068, 0, 81.71
2026/09/23 17:01:41.809, 6397, 46068, 0, 82.61
2026/09/23 17:01:42.811, 6397, 46068, 0, 81.86
2026/09/23 17:01:43.813, 6397, 46068, 0, 81.11
2026/09/23 17:01:44.814, 6397, 46068, 0, 81.76
2026/09/23 17:01:45.815, 6397, 46068, 0, 81.80
2026/09/23 17:01:46.817, 6397, 46068, 0, 81.06
2026/09/23 17:01:47.818, 6397, 46068, 0, 81.68
2026/09/23 17:01:48.820, 6397, 46068, 0, 81.86
2026/09/23 17:01:49.822, 6397, 46068, 0, 81.08
2026/09/23 17:01:50.824, 6397, 46068, 0, 81.97
2026/09/23 17:01:51.825, 6397, 46068, 0, 81.97
2026/09/23 17:01:52.827, 6397, 46068, 0, 80.93
2026/09/23 17:01:53.829, 6397, 46068, 0, 82.03
2026/09/23 17:01:54.832, 6397, 46068, 0, 81.98
2026/09/23 17:01:55.833, 6397, 46068, 0, 80.98
2026/09/23 17:01:56.834, 6397, 46068, 0, 81.71
2026/09/23 17:01:57.836, 6397, 46068, 0, 81.83
2026/09/23 17:01:58.838, 6397, 46068, 0, 82.06
2026/09/23 17:01:59.840, 6397, 46068, 0, 82.05
2026/09/23 17:02:00.842, 6397, 46068, 0, 82.25
2026/09/23 17:02:01.844, 6399, 46068, 0, 82.11
2026/09/23 17:02:02.846, 6399, 46068, 0, 82.25
2026/09/23 17:02:03.847, 6399, 46068, 0, 82.10
2026/09/23 17:02:04.849, 6399, 46068, 0, 82.00
2026/09/23 17:02:05.850, 6399, 46068, 0, 82.13
2026/09/23 17:02:06.852, 6399, 46068, 0, 82.01
2026/09/23 17:02:07.857, 6399, 46068, 0, 82.05
2026/09/23 17:02:08.858, 6401, 46068, 0, 82.03
2026/09/23 17:02:09.861, 6401, 46068, 0, 81.90
2026/09/23 17:02:10.863, 6553, 46068, 0, 81.81
2026/09/23 17:02:11.865, 6745, 46068, 96, 163.74
2026/09/23 17:02:12.866, 6745, 46068, 90, 195.40
2026/09/23 17:02:13.871, 6745, 46068, 97, 198.80
2026/09/23 17:02:14.873, 6745, 46068, 96, 198.21
2026/09/23 17:02:15.875, 6745, 46068, 97, 198.42
2026/09/23 17:02:16.876, 6745, 46068, 96, 197.02
2026/09/23 17:02:17.878, 6745, 46068, 98, 202.05
2026/09/23 17:02:18.880, 6745, 46068, 98, 199.97
2026/09/23 17:02:19.882, 6745, 46068, 95, 200.33
2026/09/23 17:02:20.884, 6745, 46068, 97, 197.80
2026/09/23 17:02:21.886, 6745, 46068, 94, 198.93
2026/09/23 17:02:22.888, 6745, 46068, 97, 201.24
2026/09/23 17:02:23.891, 6745, 46068, 91, 197.46
2026/09/23 17:02:24.893, 6745, 46068, 98, 198.86
2026/09/23 17:02:25.895, 6745, 46068, 96, 199.89
2026/09/23 17:02:26.896, 6745, 46068, 98, 201.46
2026/09/23 17:02:27.899, 6745, 46068, 98, 199.22
2026/09/23 17:02:28.901, 6745, 46068, 99, 201.19
2026/09/23 17:02:29.903, 6745, 46068, 97, 199.30
2026/09/23 17:02:30.904, 6745, 46068, 97, 203.68
2026/09/23 17:02:31.907, 6745, 46068, 97, 201.36
2026/09/23 17:02:32.909, 6745, 46068, 96, 200.27
2026/09/23 17:02:33.911, 6745, 46068, 97, 199.26
2026/09/23 17:02:34.913, 6745, 46068, 97, 198.93
2026/09/23 17:02:35.915, 6911, 46068, 1, 169.21
2026/09/23 17:02:36.923, 6417, 46068, 0, 83.94
2026/09/23 17:02:37.926, 41159, 46068, 38, 134.14
2026/09/23 17:02:38.928, 41197, 46068, 28, 222.30
2026/09/23 17:02:39.929, 41363, 46068, 42, 191.31
2026/09/23 17:02:40.932, 41437, 46068, 23, 157.34
2026/09/23 17:02:41.933, 41575, 46068, 7, 124.98
2026/09/23 17:02:42.935, 42127, 46068, 0, 85.35
2026/09/23 17:02:43.937, 42127, 46068, 0, 82.43
2026/09/23 17:02:44.938, 42127, 46068, 0, 88.56
2026/09/23 17:02:45.939, 42127, 46068, 82, 230.53
2026/09/23 17:02:46.941, 42127, 46068, 84, 228.61
2026/09/23 17:02:47.944, 42127, 46068, 85, 230.94
2026/09/23 17:02:48.946, 42127, 46068, 81, 229.29
2026/09/23 17:02:49.948, 42127, 46068, 83, 232.22
2026/09/23 17:02:50.949, 42127, 46068, 85, 232.69
2026/09/23 17:02:51.952, 42127, 46068, 84, 232.29
2026/09/23 17:02:52.954, 42127, 46068, 82, 232.50
2026/09/23 17:02:53.955, 42127, 46068, 84, 234.47
2026/09/23 17:02:54.958, 42127, 46068, 85, 233.82
2026/09/23 17:02:55.960, 42127, 46068, 81, 233.28
2026/09/23 17:02:56.961, 42127, 46068, 85, 233.04
2026/09/23 17:02:57.963, 42127, 46068, 85, 234.40
2026/09/23 17:02:58.965, 42127, 46068, 85, 235.13
2026/09/23 17:02:59.966, 42127, 46068, 83, 234.96
2026/09/23 17:03:00.968, 42127, 46068, 83, 233.52
2026/09/23 17:03:01.970, 42127, 46068, 73, 228.45
2026/09/23 17:03:02.973, 42127, 46068, 76, 213.41
2026/09/23 17:03:03.976, 42127, 46068, 82, 222.26
2026/09/23 17:03:04.979, 42127, 46068, 80, 223.93
2026/09/23 17:03:05.980, 42127, 46068, 86, 235.05
2026/09/23 17:03:06.981, 42127, 46068, 75, 226.29
2026/09/23 17:03:07.985, 42127, 46068, 73, 217.09
2026/09/23 17:03:08.989, 42127, 46068, 81, 230.39
2026/09/23 17:03:09.992, 42127, 46068, 74, 216.14
2026/09/23 17:03:10.995, 42127, 46068, 78, 214.92
2026/09/23 17:03:11.998, 42127, 46068, 76, 219.03
2026/09/23 17:03:13.002, 42127, 46068, 78, 231.63
2026/09/23 17:03:14.004, 42127, 46068, 76, 230.44
2026/09/23 17:03:15.006, 42127, 46068, 75, 219.63
2026/09/23 17:03:16.010, 42127, 46068, 73, 221.56
2026/09/23 17:03:17.013, 42127, 46068, 82, 242.43
2026/09/23 17:03:18.015, 42127, 46068, 83, 233.08
2026/09/23 17:03:19.017, 42127, 46068, 84, 232.43
2026/09/23 17:03:20.019, 42127, 46068, 83, 232.44
2026/09/23 17:03:21.021, 42127, 46068, 80, 233.80
2026/09/23 17:03:22.024, 42127, 46068, 84, 244.66
2026/09/23 17:03:23.026, 42127, 46068, 84, 238.24
2026/09/23 17:03:24.028, 42127, 46068, 82, 231.55
2026/09/23 17:03:25.030, 42127, 46068, 82, 234.43
2026/09/23 17:03:26.032, 42127, 46068, 83, 232.62
2026/09/23 17:03:27.034, 42127, 46068, 82, 236.57
2026/09/23 17:03:28.035, 42127, 46068, 85, 237.58
2026/09/23 17:03:29.036, 42127, 46068, 86, 233.77
2026/09/23 17:03:30.038, 42127, 46068, 83, 231.52
2026/09/23 17:03:31.040, 42127, 46068, 85, 236.48
2026/09/23 17:03:32.042, 42127, 46068, 81, 238.21
2026/09/23 17:03:33.043, 42127, 46068, 86, 238.64
2026/09/23 17:03:34.045, 42127, 46068, 83, 240.49
2026/09/23 17:03:35.047, 42127, 46068, 83, 237.99
2026/09/23 17:03:36.050, 42127, 46068, 85, 238.70
2026/09/23 17:03:37.053, 42127, 46068, 84, 253.10
2026/09/23 17:03:38.054, 42127, 46068, 86, 239.01
2026/09/23 17:03:39.057, 42127, 46068, 84, 253.62
2026/09/23 17:03:40.060, 42127, 46068, 84, 247.88
2026/09/23 17:03:41.062, 42127, 46068, 83, 238.02
2026/09/23 17:03:42.063, 42127, 46068, 84, 234.81
2026/09/23 17:03:43.065, 42127, 46068, 75, 225.70
2026/09/23 17:03:44.068, 42127, 46068, 77, 226.03
2026/09/23 17:03:45.069, 42127, 46068, 85, 235.89
2026/09/23 17:03:46.071, 42127, 46068, 74, 227.64
2026/09/23 17:03:47.072, 42127, 46068, 84, 248.62
2026/09/23 17:03:48.074, 42127, 46068, 83, 240.85
2026/09/23 17:03:49.076, 42127, 46068, 83, 237.64
2026/09/23 17:03:50.077, 42127, 46068, 84, 234.45
2026/09/23 17:03:51.079, 42127, 46068, 78, 235.71
2026/09/23 17:03:52.080, 42127, 46068, 85, 236.32
2026/09/23 17:03:53.082, 42127, 46068, 84, 238.62
2026/09/23 17:03:54.083, 42127, 46068, 81, 238.05
2026/09/23 17:03:55.085, 42127, 46068, 83, 243.14
2026/09/23 17:03:56.087, 42127, 46068, 84, 240.89
2026/09/23 17:03:57.089, 42127, 46068, 82, 240.93
2026/09/23 17:03:58.090, 42127, 46068, 83, 240.88
2026/09/23 17:03:59.091, 42127, 46068, 84, 240.96
2026/09/23 17:04:00.093, 42127, 46068, 84, 239.34
2026/09/23 17:04:01.094, 42127, 46068, 83, 241.13
2026/09/23 17:04:02.096, 42127, 46068, 83, 240.92
2026/09/23 17:04:03.098, 42127, 46068, 84, 254.90
2026/09/23 17:04:04.100, 42127, 46068, 82, 239.57
2026/09/23 17:04:05.102, 42127, 46068, 85, 237.88
2026/09/23 17:04:06.103, 42127, 46068, 85, 242.37
2026/09/23 17:04:07.104, 42127, 46068, 83, 243.78
2026/09/23 17:04:08.106, 42127, 46068, 85, 244.65
