timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/23 18:10:09.123, 7, 46068, 0, 34.72
2026/09/23 18:10:10.128, 7, 46068, 0, 34.81
2026/09/23 18:10:11.131, 7, 46068, 0, 35.05
2026/09/23 18:10:12.132, 7, 46068, 0, 34.93
2026/09/23 18:10:13.134, 7, 46068, 0, 34.83
2026/09/23 18:10:14.137, 7, 46068, 0, 34.85
2026/09/23 18:10:15.139, 7, 46068, 0, 35.21
2026/09/23 18:10:16.140, 7, 46068, 0, 35.18
2026/09/23 18:10:17.141, 7, 46068, 0, 34.80
2026/09/23 18:10:18.143, 7, 46068, 0, 34.30
2026/09/23 18:10:19.144, 7, 46068, 0, 34.70
2026/09/23 18:10:20.146, 7, 46068, 0, 34.96
2026/09/23 18:10:21.148, 7, 46068, 0, 26.23
2026/09/23 18:10:22.149, 7, 46068, 0, 26.57
2026/09/23 18:10:23.151, 7, 46068, 0, 26.57
2026/09/23 18:10:24.152, 7, 46068, 0, 26.49
2026/09/23 18:10:25.154, 7, 46068, 0, 27.38
2026/09/23 18:10:26.156, 7, 46068, 0, 27.51
2026/09/23 18:10:27.157, 7, 46068, 0, 27.01
2026/09/23 18:10:28.158, 7, 46068, 0, 26.38
2026/09/23 18:10:29.160, 7, 46068, 0, 26.45
2026/09/23 18:10:30.163, 7, 46068, 0, 26.40
2026/09/23 18:10:31.174, 7, 46068, 0, 26.15
2026/09/23 18:10:32.176, 7, 46068, 0, 26.20
2026/09/23 18:10:33.177, 7, 46068, 0, 26.33
2026/09/23 18:10:34.180, 7, 46068, 0, 26.08
2026/09/23 18:10:35.181, 7, 46068, 0, 26.44
2026/09/23 18:10:36.183, 7, 46068, 0, 26.77
2026/09/23 18:10:37.184, 7, 46068, 0, 26.78
2026/09/23 18:10:38.186, 7, 46068, 0, 26.70
2026/09/23 18:10:39.187, 7, 46068, 0, 26.44
2026/09/23 18:10:40.189, 7, 46068, 0, 26.52
2026/09/23 18:10:41.190, 7, 46068, 0, 26.95
2026/09/23 18:10:42.192, 7, 46068, 0, 27.25
2026/09/23 18:10:43.193, 7, 46068, 0, 27.00
2026/09/23 18:10:44.195, 7, 46068, 0, 26.58
2026/09/23 18:10:45.196, 7, 46068, 0, 26.79
2026/09/23 18:10:46.198, 7, 46068, 0, 27.08
