timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/24 00:46:57.170, 7, 49140, 0, 46.90
2026/09/24 00:46:58.174, 7, 49140, 0, 33.81
2026/09/24 00:46:59.176, 7, 49140, 0, 33.70
2026/09/24 00:47:00.179, 7, 49140, 0, 33.22
2026/09/24 00:47:01.180, 7, 49140, 0, 33.21
2026/09/24 00:47:02.181, 7, 49140, 0, 33.20
2026/09/24 00:47:03.183, 7, 49140, 0, 33.21
2026/09/24 00:47:04.185, 7, 49140, 0, 33.21
2026/09/24 00:47:05.188, 7, 49140, 0, 33.20
2026/09/24 00:47:06.189, 7, 49140, 0, 33.32
2026/09/24 00:47:07.193, 7, 49140, 0, 33.32
2026/09/24 00:47:08.195, 7, 49140, 0, 33.20
2026/09/24 00:47:09.196, 2180, 49140, 13, 53.78
2026/09/24 00:47:10.198, 5028, 49140, 10, 81.69
2026/09/24 00:47:11.200, 8132, 49140, 14, 81.55
2026/09/24 00:47:12.201, 11300, 49140, 14, 81.71
2026/09/24 00:47:13.204, 14276, 49140, 15, 81.27
2026/09/24 00:47:14.205, 16208, 49140, 2, 81.76
2026/09/24 00:47:15.207, 16208, 49140, 0, 80.46
2026/09/24 00:47:16.209, 16328, 49140, 0, 80.34
2026/09/24 00:47:17.211, 16432, 49140, 91, 142.89
2026/09/24 00:47:18.213, 16432, 49140, 93, 229.04
2026/09/24 00:47:19.214, 16432, 49140, 94, 231.21
2026/09/24 00:47:20.216, 16432, 49140, 93, 233.04
2026/09/24 00:47:21.218, 16432, 49140, 93, 234.57
2026/09/24 00:47:22.220, 16432, 49140, 93, 227.81
2026/09/24 00:47:23.222, 16432, 49140, 93, 230.34
2026/09/24 00:47:24.224, 16432, 49140, 94, 231.73
2026/09/24 00:47:25.226, 16432, 49140, 92, 234.73
2026/09/24 00:47:26.229, 16432, 49140, 92, 232.55
2026/09/24 00:47:27.230, 16432, 49140, 93, 238.87
2026/09/24 00:47:28.232, 16432, 49140, 93, 233.97
2026/09/24 00:47:29.234, 16432, 49140, 93, 233.77
2026/09/24 00:47:30.236, 16432, 49140, 93, 237.32
2026/09/24 00:47:31.238, 16432, 49140, 92, 240.88
2026/09/24 00:47:32.240, 16432, 49140, 92, 232.81
2026/09/24 00:47:33.242, 16432, 49140, 92, 232.83
2026/09/24 00:47:34.244, 16432, 49140, 92, 234.95
