timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/24 01:36:59.310, 7, 46068, 0, 75.28
2026/09/24 01:37:00.315, 7, 46068, 0, 74.55
2026/09/24 01:37:01.316, 7, 46068, 0, 59.83
2026/09/24 01:37:02.318, 7, 46068, 0, 45.11
2026/09/24 01:37:03.320, 7, 46068, 0, 44.76
2026/09/24 01:37:04.322, 7, 46068, 0, 44.40
2026/09/24 01:37:05.324, 4040, 46068, 24, 91.02
2026/09/24 01:37:06.325, 8696, 46068, 12, 101.81
2026/09/24 01:37:07.326, 13904, 46068, 23, 102.27
2026/09/24 01:37:08.328, 16208, 46068, 0, 100.45
2026/09/24 01:37:09.329, 16208, 46068, 0, 99.10
2026/09/24 01:37:10.331, 16208, 46068, 0, 97.43
2026/09/24 01:37:11.332, 16208, 46068, 0, 97.10
2026/09/24 01:37:12.334, 16208, 46068, 0, 96.81
2026/09/24 01:37:13.336, 16276, 46068, 0, 96.25
2026/09/24 01:37:14.338, 16432, 46068, 61, 115.20
2026/09/24 01:37:15.339, 16432, 46068, 94, 252.13
2026/09/24 01:37:16.340, 16432, 46068, 92, 251.60
2026/09/24 01:37:17.341, 16432, 46068, 94, 255.11
2026/09/24 01:37:18.342, 16432, 46068, 93, 254.23
2026/09/24 01:37:19.344, 16432, 46068, 95, 253.42
2026/09/24 01:37:20.345, 16432, 46068, 93, 257.20
2026/09/24 01:37:21.346, 16768, 46068, 28, 245.10
2026/09/24 01:37:22.347, 16816, 46068, 91, 238.59
2026/09/24 01:37:23.349, 16816, 46068, 93, 238.66
2026/09/24 01:37:24.350, 16816, 46068, 92, 237.35
2026/09/24 01:37:25.352, 16836, 46068, 92, 237.58
2026/09/24 01:37:26.354, 16876, 46068, 93, 236.81
2026/09/24 01:37:27.355, 16876, 46068, 93, 240.14
2026/09/24 01:37:28.357, 16916, 46068, 91, 239.85
2026/09/24 01:37:29.358, 16916, 46068, 92, 237.73
2026/09/24 01:37:30.360, 16916, 46068, 91, 236.31
2026/09/24 01:37:31.361, 16916, 46068, 93, 240.99
2026/09/24 01:37:32.362, 16916, 46068, 93, 241.23
2026/09/24 01:37:33.364, 16916, 46068, 93, 239.15
2026/09/24 01:37:34.365, 16916, 46068, 91, 242.18
2026/09/24 01:37:35.366, 16916, 46068, 93, 240.71
2026/09/24 01:37:36.368, 16916, 46068, 92, 241.00
2026/09/24 01:37:37.370, 16916, 46068, 93, 240.35
2026/09/24 01:37:38.372, 16916, 46068, 93, 247.90
2026/09/24 01:37:39.373, 16916, 46068, 91, 241.40
2026/09/24 01:37:40.375, 16916, 46068, 92, 240.98
2026/09/24 01:37:41.377, 16916, 46068, 92, 240.33
2026/09/24 01:37:42.378, 16916, 46068, 91, 241.03
2026/09/24 01:37:43.380, 16916, 46068, 93, 241.66
2026/09/24 01:37:44.382, 16916, 46068, 93, 240.82
2026/09/24 01:37:45.383, 16916, 46068, 91, 243.38
2026/09/24 01:37:46.384, 16916, 46068, 91, 252.27
2026/09/24 01:37:47.385, 16916, 46068, 93, 240.38
2026/09/24 01:37:48.387, 16916, 46068, 93, 240.55
2026/09/24 01:37:49.389, 16916, 46068, 93, 238.45
2026/09/24 01:37:50.390, 16916, 46068, 93, 242.01
2026/09/24 01:37:51.391, 16916, 46068, 91, 240.22
2026/09/24 01:37:52.392, 16916, 46068, 93, 240.84
2026/09/24 01:37:53.393, 16916, 46068, 93, 242.11
2026/09/24 01:37:54.395, 16916, 46068, 94, 255.51
2026/09/24 01:37:55.396, 16916, 46068, 92, 237.90
2026/09/24 01:37:56.398, 16916, 46068, 93, 237.83
2026/09/24 01:37:57.400, 16916, 46068, 88, 238.82
2026/09/24 01:37:58.401, 16916, 46068, 93, 238.85
2026/09/24 01:37:59.403, 16916, 46068, 91, 237.78
2026/09/24 01:38:00.405, 16916, 46068, 92, 237.55
