timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/23 14:37:11.734, 8, 46068, 0, 25.04
2026/09/23 14:37:12.739, 8, 46068, 0, 28.32
2026/09/23 14:37:13.740, 8, 46068, 0, 26.26
2026/09/23 14:37:14.741, 8, 46068, 0, 24.56
2026/09/23 14:37:15.742, 8, 46068, 0, 24.44
2026/09/23 14:37:16.744, 8, 46068, 0, 25.89
2026/09/23 14:37:17.746, 8, 46068, 0, 24.92
2026/09/23 14:37:18.748, 8, 46068, 0, 24.19
2026/09/23 14:37:19.749, 8, 46068, 0, 24.68
2026/09/23 14:37:20.751, 8, 46068, 0, 24.80
2026/09/23 14:37:21.753, 8, 46068, 0, 24.80
2026/09/23 14:37:22.754, 8, 46068, 0, 25.04
2026/09/23 14:37:23.755, 8, 46068, 0, 24.56
2026/09/23 14:37:24.757, 8, 46068, 0, 24.07
2026/09/23 14:37:25.759, 8, 46068, 0, 24.92
2026/09/23 14:37:26.760, 8, 46068, 0, 24.68
2026/09/23 14:37:27.762, 8, 46068, 0, 24.56
2026/09/23 14:37:28.764, 8, 46068, 0, 25.05
2026/09/23 14:37:29.766, 8, 46068, 0, 24.13
2026/09/23 14:37:30.767, 8, 46068, 0, 24.52
2026/09/23 14:37:31.768, 8, 46068, 0, 24.44
2026/09/23 14:37:32.770, 8, 46068, 0, 23.95
2026/09/23 14:37:33.771, 8, 46068, 0, 24.44
2026/09/23 14:37:34.773, 8, 46068, 0, 24.68
2026/09/23 14:37:35.774, 8, 46068, 0, 24.56
2026/09/23 14:37:36.775, 8, 46068, 0, 24.75
2026/09/23 14:37:37.777, 8, 46068, 0, 25.07
2026/09/23 14:37:38.778, 8, 46068, 0, 25.20
2026/09/23 14:37:39.779, 8, 46068, 0, 24.96
2026/09/23 14:37:40.781, 8, 46068, 0, 24.40
2026/09/23 14:37:41.783, 8, 46068, 0, 24.04
2026/09/23 14:37:42.784, 8, 46068, 0, 24.16
2026/09/23 14:37:43.785, 8, 46068, 0, 24.17
2026/09/23 14:37:44.787, 8, 46068, 0, 24.04
2026/09/23 14:37:45.788, 8, 46068, 0, 24.27
2026/09/23 14:37:46.790, 509, 46068, 3, 38.52
2026/09/23 14:37:47.792, 6369, 46068, 0, 79.02
2026/09/23 14:37:48.794, 6369, 46068, 0, 78.81
2026/09/23 14:37:49.798, 6369, 46068, 0, 78.34
2026/09/23 14:37:50.800, 6369, 46068, 1, 78.99
2026/09/23 14:37:51.802, 6369, 46068, 11, 79.55
2026/09/23 14:37:52.803, 6369, 46068, 0, 79.42
2026/09/23 14:37:53.804, 6369, 46068, 10, 79.78
2026/09/23 14:37:54.806, 6369, 46068, 10, 79.74
2026/09/23 14:37:55.808, 6369, 46068, 4, 79.73
2026/09/23 14:37:56.810, 6589, 46068, 8, 82.99
2026/09/23 14:37:57.812, 6401, 46068, 0, 82.42
2026/09/23 14:37:58.813, 6401, 46068, 0, 79.14
2026/09/23 14:37:59.815, 6401, 46068, 0, 78.14
2026/09/23 14:38:00.816, 6401, 46068, 0, 78.01
2026/09/23 14:38:01.817, 6401, 46068, 0, 78.13
2026/09/23 14:38:02.819, 6401, 46068, 0, 78.16
2026/09/23 14:38:03.821, 6401, 46068, 0, 78.28
2026/09/23 14:38:04.822, 6401, 46068, 0, 78.33
2026/09/23 14:38:05.824, 6401, 46068, 0, 78.15
2026/09/23 14:38:06.826, 6401, 46068, 0, 78.28
2026/09/23 14:38:07.827, 6401, 46068, 0, 78.28
2026/09/23 14:38:08.829, 6401, 46068, 0, 78.30
2026/09/23 14:38:09.830, 6401, 46068, 0, 79.15
2026/09/23 14:38:10.832, 6401, 46068, 0, 78.82
2026/09/23 14:38:11.834, 6401, 46068, 0, 79.15
2026/09/23 14:38:12.835, 7621, 46068, 2, 89.92
2026/09/23 14:38:13.836, 7621, 46068, 0, 132.47
2026/09/23 14:38:14.837, 7621, 46068, 0, 79.36
2026/09/23 14:38:15.838, 7621, 46068, 0, 79.40
2026/09/23 14:38:16.840, 7621, 46068, 0, 79.54
2026/09/23 14:38:17.842, 7621, 46068, 97, 151.45
2026/09/23 14:38:18.843, 7621, 46068, 0, 79.53
2026/09/23 14:38:19.845, 7621, 46068, 0, 79.52
2026/09/23 14:38:20.846, 7621, 46068, 0, 79.70
2026/09/23 14:38:21.847, 7621, 46068, 0, 79.50
2026/09/23 14:38:22.848, 7621, 46068, 0, 79.54
2026/09/23 14:38:23.849, 7621, 46068, 0, 79.48
2026/09/23 14:38:24.850, 7621, 46068, 0, 79.31
2026/09/23 14:38:25.851, 7621, 46068, 0, 79.44
2026/09/23 14:38:26.852, 7621, 46068, 0, 79.59
2026/09/23 14:38:27.853, 7621, 46068, 0, 79.49
2026/09/23 14:38:28.854, 7621, 46068, 0, 79.46
2026/09/23 14:38:29.855, 7621, 46068, 0, 79.57
2026/09/23 14:38:30.857, 7621, 46068, 0, 79.72
2026/09/23 14:38:31.858, 7621, 46068, 0, 79.58
2026/09/23 14:38:32.859, 7621, 46068, 0, 79.69
2026/09/23 14:38:33.860, 7621, 46068, 0, 79.50
2026/09/23 14:38:34.862, 7621, 46068, 0, 79.64
2026/09/23 14:38:35.863, 7621, 46068, 0, 79.53
2026/09/23 14:38:36.864, 7623, 46068, 0, 79.78
2026/09/23 14:38:37.866, 7623, 46068, 0, 79.53
2026/09/23 14:38:38.868, 7623, 46068, 0, 79.65
2026/09/23 14:38:39.869, 7623, 46068, 0, 79.62
2026/09/23 14:38:40.871, 7623, 46068, 0, 79.74
2026/09/23 14:38:41.872, 7623, 46068, 0, 79.92
2026/09/23 14:38:42.874, 7623, 46068, 0, 80.07
2026/09/23 14:38:43.875, 7623, 46068, 97, 117.68
2026/09/23 14:38:44.876, 7623, 46068, 96, 218.49
2026/09/23 14:38:45.878, 7639, 46068, 0, 110.85
2026/09/23 14:38:46.879, 7639, 46068, 0, 79.51
2026/09/23 14:38:47.881, 40441, 46068, 52, 132.41
2026/09/23 14:38:48.883, 40539, 46068, 48, 258.59
2026/09/23 14:38:49.884, 40717, 46068, 43, 234.67
2026/09/23 14:38:50.886, 40843, 46068, 20, 134.86
2026/09/23 14:38:51.888, 41409, 46068, 0, 81.73
2026/09/23 14:38:52.890, 41409, 46068, 0, 81.75
2026/09/23 14:38:53.891, 41409, 46068, 0, 80.03
2026/09/23 14:38:54.893, 41409, 46068, 0, 79.63
2026/09/23 14:38:55.894, 41409, 46068, 87, 110.44
